"SiteID","Year","TOO","AB"
2045,2012,38440,66
2045,2012,38760,4
2045,2012,39080,6
2045,2012,39130,16
2045,2012,39210,10
2045,2012,39330,9
2045,2012,39480,13
2045,2012,40130,9
2045,2012,41120,4
2045,2012,41520,11
2045,2012,41910,7
2045,2012,42380,5
2045,2012,42580,1
2045,2012,42600,15
2045,2012,42750,4
2045,2012,43010,4
2045,2012,43630,3
2045,2012,44040,8
2045,2012,44060,7
2045,2012,44180,1
2045,2012,44210,1
2045,2012,44220,1
2045,2012,44230,2
2045,2012,44260,4
2045,2012,44300,7
2045,2012,44450,17
2045,2012,44940,35
2045,2012,46110,6
2045,2012,46140,2
2045,2012,49770,18
2045,2012,50020,4
2045,2012,50070,8
2045,2012,51220,35
2045,2012,51400,8
2045,2012,51430,37
2045,2012,51650,8
2045,2012,52120,4
2045,2012,52240,2
2046,2012,3490,5
2046,2012,12790,1
2046,2012,13210,7
2046,2012,17790,4
2046,2012,23760,1
2046,2012,23940,7
2046,2012,24070,2
2046,2012,24740,3
2046,2012,33680,4
2046,2012,33820,3
2046,2012,34040,4
2046,2012,35070,1
2046,2012,35490,9
2046,2012,37200,11
2046,2012,37400,1
2046,2012,37570,6
2046,2012,37940,14
2046,2012,38440,37
2046,2012,38540,1
2046,2012,38760,1
2046,2012,38880,1
2046,2012,39130,50
2046,2012,39210,13
2046,2012,39330,3
2046,2012,39480,12
2046,2012,39580,2
2046,2012,39630,3
2046,2012,40130,14
2046,2012,41120,7
2046,2012,41520,16
2046,2012,41910,5
2046,2012,42380,9
2046,2012,42600,41
2046,2012,42750,6
2046,2012,43010,4
2046,2012,43630,1
2046,2012,43950,1
2046,2012,44180,1
2046,2012,44210,3
2046,2012,44300,5
2046,2012,44450,2
2046,2012,44940,9
2046,2012,46110,5
2046,2012,46140,3
2046,2012,49770,8
2046,2012,50020,8
2046,2012,50070,1
2046,2012,50500,2
2046,2012,51220,37
2046,2012,51400,6
2046,2012,51430,36
2046,2012,51520,15
2046,2012,51650,6
2046,2012,51780,12
2046,2012,52120,5
2046,2012,52240,2
2046,2012,53270,3
2046,2012,53710,2
2046,2012,54150,34
2047,2012,13210,24
2047,2012,15840,16
2047,2012,17790,9
2047,2012,23760,1
2047,2012,23940,10
2047,2012,24070,9
2047,2012,24740,2
2047,2012,33680,1
2047,2012,33820,1
2047,2012,34040,7
2047,2012,35070,8
2047,2012,35490,4
2047,2012,37200,18
2047,2012,37400,3
2047,2012,37570,3
2047,2012,37940,13
2047,2012,38440,57
2047,2012,38540,1
2047,2012,39080,1
2047,2012,39210,8
2047,2012,39330,15
2047,2012,39480,9
2047,2012,39580,2
2047,2012,39630,1
2047,2012,40130,10
2047,2012,41120,13
2047,2012,41520,4
2047,2012,41910,2
2047,2012,42600,23
2047,2012,43010,2
2047,2012,43630,2
2047,2012,44040,12
2047,2012,44060,5
2047,2012,44180,1
2047,2012,44190,1
2047,2012,44200,4
2047,2012,44210,1
2047,2012,44220,2
2047,2012,44260,1
2047,2012,44300,2
2047,2012,44450,3
2047,2012,44940,12
2047,2012,46110,3
2047,2012,49770,3
2047,2012,50020,1
2047,2012,51220,32
2047,2012,51400,10
2047,2012,51430,13
2047,2012,51520,2
2047,2012,51650,2
2047,2012,51780,5
2047,2012,52120,5
2047,2012,52240,9
2047,2012,53270,1
2050,2012,3360,7
2050,2012,3490,3
2050,2012,13040,19
2050,2012,13210,48
2050,2012,15840,7
2050,2012,17790,9
2050,2012,23760,1
2050,2012,23940,26
2050,2012,24070,6
2050,2012,24740,1
2050,2012,33680,3
2050,2012,34040,2
2050,2012,35070,17
2050,2012,35490,16
2050,2012,37160,1
2050,2012,37200,13
2050,2012,37570,8
2050,2012,37940,22
2050,2012,38440,94
2050,2012,38540,3
2050,2012,38760,2
2050,2012,39210,33
2050,2012,39330,7
2050,2012,39480,20
2050,2012,40130,14
2050,2012,41120,4
2050,2012,41520,13
2050,2012,41910,1
2050,2012,42600,55
2050,2012,42750,2
2050,2012,43630,16
2050,2012,44040,5
2050,2012,44060,5
2050,2012,44200,1
2050,2012,44260,1
2050,2012,44300,7
2050,2012,44450,3
2050,2012,44940,27
2050,2012,46110,4
2050,2012,49770,10
2050,2012,50020,1
2050,2012,50070,2
2050,2012,51220,71
2050,2012,51400,11
2050,2012,51430,22
2050,2012,51500,1
2050,2012,51520,8
2050,2012,51650,16
2050,2012,51780,17
2050,2012,52120,10
2050,2012,52240,6
2054,2012,3490,16
2054,2012,13210,14
2054,2012,15840,2
2054,2012,17790,2
2054,2012,23760,2
2054,2012,23940,7
2054,2012,33680,1
2054,2012,35070,17
2054,2012,35490,1
2054,2012,37200,12
2054,2012,37400,1
2054,2012,37570,1
2054,2012,37940,18
2054,2012,38440,25
2054,2012,38760,11
2054,2012,39080,5
2054,2012,39330,1
2054,2012,39480,5
2054,2012,39630,1
2054,2012,40130,8
2054,2012,41520,7
2054,2012,42600,27
2054,2012,42750,6
2054,2012,43630,2
2054,2012,43950,1
2054,2012,44040,7
2054,2012,44300,3
2054,2012,44450,2
2054,2012,44940,5
2054,2012,49770,22
2054,2012,51220,35
2054,2012,51400,9
2054,2012,51430,6
2054,2012,51520,1
2054,2012,51650,1
2054,2012,51780,1
2054,2012,52120,2
2054,2012,52240,5
2054,2012,53270,2
2057,2012,3490,1
2057,2012,13210,6
2057,2012,15840,2
2057,2012,17790,2
2057,2012,23760,1
2057,2012,23940,7
2057,2012,24070,1
2057,2012,24080,2
2057,2012,24740,6
2057,2012,33680,4
2057,2012,33820,2
2057,2012,35070,6
2057,2012,35490,2
2057,2012,37200,10
2057,2012,37400,1
2057,2012,37570,18
2057,2012,37940,17
2057,2012,38440,43
2057,2012,38760,24
2057,2012,39210,6
2057,2012,39330,9
2057,2012,39480,8
2057,2012,39580,2
2057,2012,39630,3
2057,2012,40130,15
2057,2012,41120,1
2057,2012,41520,5
2057,2012,41910,4
2057,2012,42380,3
2057,2012,42600,19
2057,2012,42750,3
2057,2012,43010,6
2057,2012,43630,2
2057,2012,44040,13
2057,2012,44060,1
2057,2012,44180,1
2057,2012,44210,1
2057,2012,44230,1
2057,2012,44260,3
2057,2012,44300,1
2057,2012,44450,8
2057,2012,44940,16
2057,2012,46110,12
2057,2012,46140,18
2057,2012,49770,2
2057,2012,50020,6
2057,2012,51220,25
2057,2012,51400,10
2057,2012,51430,39
2057,2012,51520,6
2057,2012,51650,4
2057,2012,51780,5
2057,2012,52120,9
2057,2012,52240,2
2057,2012,53710,2
2057,2012,54150,2
2058,2012,3490,4
2058,2012,12790,5
2058,2012,13210,15
2058,2012,17790,2
2058,2012,21480,1
2058,2012,24070,1
2058,2012,24080,2
2058,2012,24740,1
2058,2012,34040,1
2058,2012,35070,2
2058,2012,35490,2
2058,2012,37200,6
2058,2012,37400,1
2058,2012,37570,2
2058,2012,37940,4
2058,2012,38440,47
2058,2012,38760,9
2058,2012,39210,13
2058,2012,39330,11
2058,2012,39480,7
2058,2012,39580,1
2058,2012,40130,7
2058,2012,41120,7
2058,2012,41520,9
2058,2012,41910,8
2058,2012,42380,9
